Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),GDP per Capita (USD),Percentage GDP Health Expenditure,Unemployment (%),Urban Population,Population,Age Dependency Ratio (%),Life Expectancy
Afghanistan,AFG,2010,0.16513,0.705313,0.097327,4.862777,2.571349,4.130874,0.662062,43489.48387604871,11.431322024179797,3.616365302244795,2302251.1503417282,3771803.8618977815,67.42584729661449,66.01621780369783
Afghanistan,AFG,2011,0.165272,0.705688,0.098638,4.864773,2.57317,4.130862,0.662254,34320.13600021152,10.35603788505459,4.775395610727664,3731691.9885169743,5402891.687377249,65.23114606944884,80.06932821629836
Afghanistan,AFG,2012,0.165424,0.706086,0.099891,4.867283,2.576189,4.132485,0.662372,45289.951368030015,3.753070549943285,12.4870343354035,658770.6880095608,1203823.5870992977,65.15549000546216,80.5158846133596
Afghanistan,AFG,2013,0.165579,0.706471,0.101291,4.869701,2.572396,4.134661,0.662433,2991.8249057888725,15.424141094006847,4.724853388589029,499839.2022470073,628556.0489513208,64.49129810051153,67.9614351015104
Afghanistan,AFG,2014,0.165742,0.706876,0.103137,4.872256,2.562885,4.133526,0.662447,20104.573744402085,3.6433854993869006,14.592989738620362,7042133.196185731,13680570.955224229,44.42351421668289,79.15890287551386
Afghanistan,AFG,2015,0.165895,0.707275,0.104445,4.875201,2.543144,4.135419,0.662276,31323.528472598573,17.73041459026694,5.07044820848214,8886918.385975154,17512490.1190014,35.242840478385574,68.14085854533373
Afghanistan,AFG,2016,0.166035,0.707686,0.105808,4.878875,2.513553,4.135694,0.66185,1149.8291711116592,2.7554801992063487,2.482228460717561,8085086.74206608,14829179.504707025,34.357386308471604,83.37052732832073
Afghanistan,AFG,2017,0.166158,0.708089,0.107142,4.882481,2.473934,4.136347,0.661217,29795.20276606427,15.485599007915814,10.372851014402269,2858895.21796264,3890394.7885160386,30.447857570215145,65.58034642590331
Albania,ALB,2010,0.199308,0.703064,0.160337,3.391246,0.50027,2.203342,1.838566,47923.402579502275,12.054479518817482,4.136170174711216,168027.34001267244,296495.88769627805,64.4605484177406,67.01491721354887
Albania,ALB,2011,0.199588,0.703313,0.16242,3.391181,0.502703,2.202291,1.843256,46567.4563771706,6.845498878897864,7.399348287360235,2203947.0067591364,3539253.1135765123,32.366933637268865,78.65909249626259
Albania,ALB,2012,0.199863,0.703539,0.165446,3.390807,0.505621,2.202192,1.847375,45102.77384133381,5.2173339353404335,13.914690316981442,7869151.780278663,10736931.092903689,55.21814243270341,76.58064303674699
Albania,ALB,2013,0.200134,0.70376,0.167105,3.390195,0.508049,2.203098,1.850358,27564.27302603137,8.423628177733798,13.52981837883775,5423271.560178675,9993532.448051205,61.20115735246212,82.82973417037154
Albania,ALB,2014,0.200392,0.70397,0.16941,3.389319,0.510089,2.203684,1.851517,12519.771308969897,13.498918500510307,9.486286894386081,7541873.768556447,11814338.142294914,33.03897169507278,64.71316809735987
Albania,ALB,2015,0.20063,0.704161,0.171095,3.388212,0.513158,2.204454,1.850252,7391.919189507372,19.188958848077466,10.385656018025125,3797421.4809455164,5054710.920640415,49.68270336833256,77.6180357545953
Albania,ALB,2016,0.200845,0.704335,0.172627,3.386891,0.515036,2.206507,1.845972,41354.58750097125,19.884988680138672,9.951152983981084,2212173.860618679,2970019.746323748,64.00445644055735,73.89848475051458
Albania,ALB,2017,0.201025,0.70448,0.174046,3.385245,0.517614,2.208414,1.837955,28477.544463869817,8.026357117851543,12.564293482032372,7585479.60196055,12376032.816093128,44.3088161848451,80.64078499220778
Algeria,DZA,2010,0.197004,0.815265,0.204406,5.040479,1.670579,3.613148,0.663538,37824.848410497034,2.083666032870268,7.996649584791868,757317.9647776507,1090984.9030666216,55.212221658524506,67.64236235426131
Algeria,DZA,2011,0.197161,0.815808,0.206218,5.043828,1.6791,3.615173,0.664221,12512.199571752764,6.244960372172707,4.478484299897321,4399415.216481573,8191724.189640483,43.40716880570386,73.25433199271482
Algeria,DZA,2012,0.197312,0.816334,0.207498,5.047269,1.687763,3.616605,0.664827,44389.46973515356,17.78449086371304,5.5551965599029245,6411287.0579765355,10898590.060071304,58.19900714671213,81.42919893178568
Algeria,DZA,2013,0.197464,0.816874,0.208892,5.051019,1.696613,3.622467,0.665344,25862.13657881435,13.012388485405618,6.872592383803443,1317597.864216878,2463532.953321843,43.28993916032313,62.536790907636124
Algeria,DZA,2014,0.197602,0.81738,0.20996,5.054674,1.703742,3.62949,0.665685,6138.206913774495,2.9252544431245706,8.351349353715587,4310006.838927823,5403133.123710698,56.844749870483,76.81408740901645
Algeria,DZA,2015,0.197728,0.817862,0.211434,5.058398,1.709814,3.636962,0.665817,21573.97977482618,6.450625464706869,2.3247391087164653,7652316.721755882,12666882.43420136,34.73967758209572,76.35061528567644
Algeria,DZA,2016,0.197836,0.818315,0.212735,5.062233,1.714025,3.647817,0.665681,43210.38521947956,17.63147386654114,5.013229468301675,6115892.023326063,8970844.474059653,48.74897590245774,68.75567744608131
Algeria,DZA,2017,0.197913,0.818687,0.213612,5.065876,1.717218,3.661094,0.665191,22405.70490644867,6.043212353616215,4.650755841000365,3294974.629592943,4654214.394451893,52.82488979239584,79.09591857743031
American Samoa,ASM,2010,0.249686,0.468469,0.180618,3.314807,0.763699,2.937276,1.136893,4697.7107367648305,17.609922114869075,4.0113403305788875,2814525.688256464,3611550.8771096813,44.56586502717917,62.63301737482931
American Samoa,ASM,2011,0.249596,0.468497,0.180384,3.315545,0.764531,2.937032,1.137934,27407.794353929923,19.34219921923391,2.456952501234497,6450864.073405312,8634875.69552058,69.56046690822357,66.21128927132281
American Samoa,ASM,2012,0.249481,0.468515,0.180056,3.316068,0.765848,2.936882,1.138978,8561.650097576756,6.305931010519102,8.728372849335624,5784512.08299761,7498821.345278301,53.150356795763216,66.9119826510109
American Samoa,ASM,2013,0.249337,0.468506,0.180232,3.316344,0.766645,2.93761,1.139932,29598.62519701237,17.02524453091512,7.3299447488067,160564.68247907533,258228.8184963106,42.65086233458975,74.23649755520483
American Samoa,ASM,2014,0.24917,0.468481,0.179621,3.316431,0.768486,2.937324,1.140782,33754.09411380352,7.842210324230379,5.854965545778116,2910013.758354454,3878022.2910442874,59.15381929825654,60.95281680459134
American Samoa,ASM,2015,0.248981,0.468434,0.179144,3.316201,0.769507,2.936809,1.141513,10278.883401447492,8.079597887670829,7.712918088559878,9496578.222973032,14120887.097487817,57.773777369370535,65.74816378827948
American Samoa,ASM,2016,0.248777,0.468379,0.178726,3.316091,0.771281,2.937781,1.142011,47601.72903955638,13.47816661529719,13.456798590689266,1026820.3317204361,1606320.5735013129,65.23893588865421,61.921770685391685
American Samoa,ASM,2017,0.248557,0.468305,0.177808,3.315834,0.772801,2.939668,1.142277,40346.651669590974,3.1878363832675403,13.050117156493938,6941264.893609274,9767234.72164184,33.51148906445215,71.70800793653721
Andorra,AND,2010,0.264305,0.961726,0.64824,5.287139,0.90163,3.708797,1.250824,8534.59951046639,7.2227316508117,4.368580416804361,5426667.510514042,9464683.392500844,68.00664897697163,62.29950778062596
Andorra,AND,2011,0.264054,0.963822,0.652492,5.310743,0.898473,3.725281,1.242683,41307.582100502004,15.225805814635244,11.202617022500123,9367021.710751718,17197160.61884366,59.98232576466858,70.62848623319515
Andorra,AND,2012,0.264009,0.963906,0.651261,5.311803,0.900336,3.725932,1.245344,39585.291567735934,3.626718072087544,5.933127305799474,4345329.61377053,7272016.232099859,46.078250932019145,74.26009889024597
Andorra,AND,2013,0.263869,0.964152,0.651222,5.314755,0.900576,3.727589,1.245315,13787.984613300394,8.868266232750187,2.336476287835079,5649908.561243945,10105146.424856238,46.700019821724304,68.46066709568453
Andorra,AND,2014,0.263791,0.96396,0.649979,5.313837,0.903323,3.728379,1.248614,17549.99290255997,17.369216582862556,9.776614694011565,387636.34802330245,704474.5243432487,40.46850229538106,65.31554208457311
Andorra,AND,2015,0.263713,0.963754,0.647221,5.310493,0.905575,3.727885,1.251926,34130.00381163258,17.934551491658254,14.060555720297879,5080668.575728005,9623013.008960094,57.91998135505675,77.28565502335012
Andorra,AND,2016,0.263603,0.963614,0.645775,5.307073,0.907981,3.726825,1.253886,32468.17202347853,9.52780484576815,6.490271449955342,386248.14136761177,490773.32693686883,34.14427983544314,73.13115185410207
Andorra,AND,2017,0.263512,0.963331,0.644559,5.305375,0.910066,3.729532,1.25605,26678.30677804842,14.150600304518585,8.81987957690864,7590704.365047676,14369382.312659943,52.87112567543201,73.24683399848189
Angola,AGO,2010,0.170158,0.622503,0.156364,3.277828,0.503415,4.155198,1.388193,9089.643688670525,17.82233698931315,5.251662884956829,1192574.6149358852,2078219.523448732,69.6604463160967,60.238123572982346
Angola,AGO,2011,0.170636,0.622816,0.159317,3.280661,0.503816,4.15542,1.387895,2167.547105632956,7.079745671745624,3.4584826963346753,7973051.5087211905,11721796.027729118,64.26856873064857,71.10780880448831
Angola,AGO,2012,0.171097,0.623105,0.161691,3.283533,0.50566,4.155512,1.387295,4881.045487013722,13.59012112820372,10.266923757685289,9744572.085543752,14707781.39547221,56.256632645254214,83.4877080026633
Angola,AGO,2013,0.171531,0.623366,0.164602,3.286419,0.507611,4.158336,1.386365,20654.7541810793,19.59877769150591,8.95314292862502,5782950.417195914,8158867.604511709,34.27646777283204,64.82190375108257
Angola,AGO,2014,0.171928,0.623583,0.167412,3.289271,0.510054,4.156468,1.385029,43469.49822077187,8.230017845242434,13.57173151768659,1186610.2738619517,2005612.9260818097,33.805056614396165,72.82996087124056
Angola,AGO,2015,0.172277,0.623748,0.169554,3.291955,0.513006,4.158484,1.383269,18498.344267300585,5.383352354330857,11.440307289742368,7828066.0382525865,12869400.361662654,64.64851549760648,76.94584410734281
Angola,AGO,2016,0.17257,0.623859,0.172163,3.294534,0.516244,4.157841,1.381018,41518.36121546899,9.537853219653625,13.714085162233138,854199.1494795005,1095208.1825036746,50.97095427157691,71.69581353449321
Angola,AGO,2017,0.172794,0.623904,0.173643,3.296906,0.519556,4.160484,1.378244,21445.232053823845,15.58188482500962,13.102146908906516,9608755.079598684,11916020.891888967,62.28204885538544,83.34642095059645
Antigua and Barbuda,ATG,2010,0.206026,0.925728,0.350044,4.628191,0.785647,2.53681,2.111057,9997.889515961151,3.185876252862263,11.446328434450479,8919594.643235208,17665419.7893552,69.89594471611251,69.03076601574656
Antigua and Barbuda,ATG,2011,0.206146,0.925668,0.350378,4.624571,0.786418,2.535758,2.115421,20372.831590413083,15.892699418461333,4.9933786708313015,5588867.605207053,9538506.716007665,31.23802932872306,64.37730363973508
